生命值	攻击力	防御力	掉落金币 = 1*hp/(1-defence/100) +1*attack /10
20	9	2	7 
400	60	10	74 
8000	700	75	3550 
20	11	0	8 
350	70	1	70 
7000	1500	70	3083 
21	8	3	6 
450	50	20	81 
9000	700	85	6350 
10	5	1	4 
20	10	30	8 
300	500	20	288 
10	15	1	9 
40	5	50	11 
300	700	35	396 
10	10	3	6 
400	100	5	92 
5000	900	50	1450 
10	5	1	4 
1000	100	40	217 
30	10	2	8 
4000	1000	60	1500 
200	50	30	54 
4000	1300	65	1793 
500	100	10	106 
2000	1000	20	750 
100	60	60	55 
2000	200	85	1433 
150	40	10	37 
800	100	15	144 
4000	400	25	733 
160	35	15	36 
850	80	20	146 
5000	350	35	944 
300	20	40	60 
4000	100	70	1383 
500	70	15	94 
5000	800	35	1169 
300	30	35	61 
3000	200	70	1100 
150	80	25	60 
3000	800	60	1150 
10	10	2	6 
300	100	10	83 
6000	800	70	2400 
100	30	40	32 
3500	150	70	1242 
200	70	20	60 
2000	200	40	433 
100	30	30	29 
4000	900	70	1783 
200	80	10	62 
5000	200	30	814 
350	50	80	200 
4000	250	85	2792 
300	150	5	107 
3000	1000	15	853 
300	100	10	83 
4000	1000	20	1000 
10	4	1	3 
350	50	10	64 
6000	1500	50	1950 
100	15	10	19 
2000	100	25	317 
10000	800	50	2400 
150	30	10	32 
3000	200	15	453 
7000	1500	30	1750 
70	10	3	12 
700	50	5	99 
7000	800	15	1224 
300	100	20	88 
5000	1000	40	1333 
100	35	15	29 
2500	300	40	567 
6000	1500	80	3750 
300	100	10	83 
4000	1000	20	1000 
350	70	40	93 
5000	300	80	2650 
100	30	20	28 
5000	500	50	1250 
300	50	10	58 
200	40	5	41 
3000	800	30	829 
500	100	50	150 
4000	500	60	1250 
300	80	50	100 
4000	500	60	1250 
150	20	30	31 
3000	250	50	725 
100	25	50	33 
1000	200	60	350 
10000	1000	70	3833 
1000	100	60	300 
100	25	40	29 
3000	200	55	767 
100	30	20	28 
4000	500	40	917 
300	30	35	61 
3000	300	50	750 
300	50	15	60 
3000	350	60	925 
200	100	15	74 
3000	1000	30	929 
4000	200	50	900 
3500	500	40	833 
4000	350	20	675 
100	30	10	26 
2500	500	20	563 
600	100	60	200 
6000	1000	90	6500 
1000	350	60	425 
250	50	30	61 
4000	600	30	871 
100	20	20	23 
5000	1000	30	1214 
20	5	2	5 
300	60	10	63 
100	15	20	20 
5000	500	25	917 
3000	150	10	408 
2000	1000	30	786 
2000	500	70	917 
2500	700	50	850 
2000	700	50	750 
1500	1000	70	1000 
3000	400	40	700 
20	5	0	5 
8000	1000	60	2500 
5000	500	60	1500 
3000	1000	80	2000 
30	10	5	8 
5000	400	50	1200 
4500	500	45	1068 
4500	550	40	1025 
3000	250	60	875 
100	20	5	21 
5000	350	40	1008 
3500	120	80	1810 
2000	500	25	517 
7000	900	50	1850 
10000	500	90	10250 
10000	1000	85	7167 
10000	1100	80	5550 
10000	1200	75	4600 
